,text
44,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>TC vatandaşlığına geçtim, ismim değişti, ama denklik belgemde eski ismim var ne yapmalıyım?[/INST] Adınıza düzenlenen denklik belgesinin ön yüzünde diplomanızın üzerindeki kimlik bilgileriniz yer alacaktır. Arka yüzünde ise güncel kimlik bilgileriniz yer alacaktır. T.C. vatandaşlığına geçince nüfus kayıt örneğiniz ve  nüfus cüzdanı suretiniz ile Kurulumuza başvurmanız halinde  Kurulumuza müracaat etmeniz halinde belge arkasındaki nüfus cüzdanı bilgileri doldurulacaktır.</s>"
45,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sınav alanları nelerdir, hangi alanlarda seviye tespit sınavı yapıyorsunuz?[/INST] Tüm alanlarda Seviye Tespit Sınavı yapılmaktadır. Ancak genel olarak Tıp Doktorluğu, Diş Hekimliği, Mühendislik  ve Öğretmenlik alanlarında sınav yapılmaktadır.</s>"
46,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>STS hangi aşamaya gireceğim[/INST] İlgililere STS de hangi aşamaya gireceğine dair bilgi resmi olarak adreslerine tebliğ edilecektir. Tebliğ edilen aşamada sınava girilecektir.</s>
47,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>STS'ye nerede gireceğim[/INST] ÖSYM'in yaptığı STS sınavlarında sınav yeri bilgileri aday bilgi sisteminden öğrenebileceklerdir. Yükseköğretim Kurulunun yaptığı STS sınavlarının yer ve zaman bilgileri STS kılavuzunda yer almaktadır.</s>
48,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>STS sonuçlarını nasıl öğreneceğim.[/INST] ÖSYM'nin yaptığı Tıp Doktorluğu Diş Hekimliği ve Öğretmenlik alanlarındaki sınav sonuçları ÖSYM tarafından wep sitesinde yayınlanacaktır. Yükseköğretim Kurulunun diğer alandaki yaptığı (Mühendislik, Türk Dili, Hukuk vb.) sınav sonuçları Kurulumuz web sitesinde yayınlanmaktadır.</s>"
49,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Dosyamı bir üniversiteye görüşe göndermişsiniz, hangi üniversite olduğunu söyler misiniz?[/INST] Kurulumuzca dosyaların görüşe gönderildiği üniversite isimleri müdahaleleri engellemek amacıyla saklı tutulmaktadır</s>"
50,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Dosyanız Dışişleri Bakanlığından gelecek olan ""Diploma Teyidini Bekliyor"" ne demek?[/INST] Dışişleri Bakanlığı aracılığı ile yapılan diploma teyit yazışmalarında, başvuru yapan kişinin ilgili okulda gerçekten eğitim alıp almadığı, aldı ise öğrenim türü vb. alanlarda bilgi istenilmektedir. Söz konusu yazışmanın süresi mezun olunan yükseköğretim kurumuna, yazışma yapılan ülkeye, yazışmanın türüne ve posta sürecine bağlı olarak değişmektedir.</s>"
51,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Eksik evrak yazısı geldi, ben tüm evraklarımı göndermiştim, bu ne demek?[/INST] İlgili uzman tarafından dosyanızın incelenmesi neticesinde, evraklarınızın arasında eksiklik olduğu tespit edilmiş olup, tarafınıza eksik evrak yazısı yazılmıştır.</s>"
52,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Evraklarımı postaya vermişsiniz, posta takip numarasını öğrenebilir miyim?[/INST] Denklik birimi ile iletişime geçerek, adınıza düzenlenen denklik belgesinin Giden Evrak çıkış sayısı  ve tarihini öğrenmeniz halinde, Kurulumuz Giden Evrak biriminden söz konusu tarih ve  sayı  ile posta takip barkodu edinebilir, bu barkod numarası ile PTT'den sorgulama yapabilirsiniz.</s>"
53,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik işlemi için ne yapmam gerekli?[/INST] www.yok.gov.tr adresinde  Denklik Başvuru Sistemine Online Kayıt  yapılıp , başvuru formunun çıktısı alınıp imzalandıktan sonra, gerekli olan diğer evraklar tamamlanır, posta veya elden başvuru yapılır.</s>"
54,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Online başvuru formunu doldurdum, başvurum tamamlanmış olur mu?[/INST] Yalnızca online başvuru formunu doldurmakla denklik işlemleri tamamlanmamaktadır. Denklik başvurusunda istenilen bütün evraklar ile birlikte, başvuru formunuzun imzalı çıktısını Kurulumuza etmeniz gerekmektedir.</s>"
55,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik başvurusunda hangi evraklar gereklidir?[/INST] Denklik Başvurusu için gerekli olan evraklara www.yok.gov.tr adresinde Diploma Denklik Başvurusunda İstenilen Evraklar bölümünden ulaşılabilmektedir.</s>
56,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Doktora denkliği yaptıracağım, gerekli evraklar nelerdir.[/INST] Üniversitelerarası Kurul Başkanlığının internet adresinden (www.uak.gov.tr) gerekli belgeleri öğrenebilirsiniz.</s>"
57,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmenlik alanında yapılan sts hakkında değişiklik oldumu?[/INST] Yükseköğretim  Genel Kurul kararı gereğince öğretmenlik denkliği başvurusu sonucunda hakkında sts kararı çıkan kişilerin sts sınavı yerine KPSS'deki Eğitim Bilimleri bölümünden 100 üzerinden 50 almaları gerekmektedir.</s>
58,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sts'de başarılı olabilmek için en az kaç puan almam gereklidir ?[/INST] Seviye tespit sınavı öğrenim süresince kazanılması gereken en az bilgi düzeyinin tespitine yönelik olup, başarılı olabilmek için gereken asgari puan 100 üzerinden 50'dir.</s>"
59,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Eczacılık alanındaki diplomaların denklik işlemleri nasıl yapılmaktadır?[/INST] Eczacılık alanındaki diplomaların denklik işlemlerinde: Yapılan denklik incelemesi sonucunda eğitim düzeyi, süresi ve mezun olunan programın Türkiye?deki eşdeğer programa göre alınması gereken zorunlu derslerinde eksiklik bulunmadığında, Kurulca belirlenecek eczacılık fakültesinde oluşturulacak bir jüri önünde ilmi hüviyetini ispat etmesi sonucunda denklik belgesi verilir. Yapılan denklik incelemesi sonucunda eğitim düzeyi, süresi ve mezun olunan programın Türkiye?deki eşdeğer programa göre alınması gereken zorunlu derslerinde eksiklik bulunanların ise Kurulca belirlenecek eczacılık fakültesinde zorunlu eksik derslerin ve eksik olan sürenin tamamlatılarak mesleki bilgiyi ölçen bir sınavın Kurulca belirlenecek eczacılık fakültesinde oluşturulacak bir heyet tarafından yapılması sonucunda denklik belgesi verilir.</s>"
